"geo","country","year","life_expectancy","GDP"
"arg","Argentina",1800,33.2,1700
"arg","Argentina",1801,33.2,1700
"arg","Argentina",1802,33.2,1710
"arg","Argentina",1803,33.2,1720
"arg","Argentina",1804,33.2,1720
"arg","Argentina",1805,33.2,1730
"arg","Argentina",1806,33.2,1730
"arg","Argentina",1807,33.2,1740
"arg","Argentina",1808,33.2,1750
"arg","Argentina",1809,33.2,1750
"arg","Argentina",1810,33.2,1760
"arg","Argentina",1811,33.2,1760
"arg","Argentina",1812,33.2,1770
"arg","Argentina",1813,33.2,1780
"arg","Argentina",1814,33.2,1780
"arg","Argentina",1815,33.2,1790
"arg","Argentina",1816,33.2,1800
"arg","Argentina",1817,33.2,1800
"arg","Argentina",1818,33.2,1810
"arg","Argentina",1819,33.2,1810
"arg","Argentina",1820,33.2,1820
"arg","Argentina",1821,33.2,1830
"arg","Argentina",1822,33.2,1850
"arg","Argentina",1823,33.2,1860
"arg","Argentina",1824,33.2,1880
"arg","Argentina",1825,33.2,1890
"arg","Argentina",1826,33.2,1910
"arg","Argentina",1827,33.2,1920
"arg","Argentina",1828,33.2,1930
"arg","Argentina",1829,33.2,1950
"arg","Argentina",1830,33.2,1960
"arg","Argentina",1831,33.2,1980
"arg","Argentina",1832,33.2,1990
"arg","Argentina",1833,33.2,2010
"arg","Argentina",1834,33.2,2020
"arg","Argentina",1835,33.2,2040
"arg","Argentina",1836,33.2,2050
"arg","Argentina",1837,33.2,2070
"arg","Argentina",1838,33.2,2090
"arg","Argentina",1839,33.2,2100
"arg","Argentina",1840,33.2,2120
"arg","Argentina",1841,33.2,2130
"arg","Argentina",1842,33.2,2150
"arg","Argentina",1843,33.2,2170
"arg","Argentina",1844,33.2,2180
"arg","Argentina",1845,33.2,2200
"arg","Argentina",1846,33.2,2210
"arg","Argentina",1847,33.2,2230
"arg","Argentina",1848,33.2,2250
"arg","Argentina",1849,33.2,2270
"arg","Argentina",1850,33.2,2280
"arg","Argentina",1851,33.21,2300
"arg","Argentina",1852,33.22,2320
"arg","Argentina",1853,33.23,2340
"arg","Argentina",1854,33.24,2360
"arg","Argentina",1855,33.25,2380
"arg","Argentina",1856,33.25,2390
"arg","Argentina",1857,33.26,2410
"arg","Argentina",1858,33.27,2430
"arg","Argentina",1859,33.28,2450
"arg","Argentina",1860,33.29,2470
"arg","Argentina",1861,33.3,2490
"arg","Argentina",1862,33.31,2510
"arg","Argentina",1863,33.32,2530
"arg","Argentina",1864,33.33,2550
"arg","Argentina",1865,33.34,2570
"arg","Argentina",1866,33.35,2590
"arg","Argentina",1867,33.35,2610
"arg","Argentina",1868,33.36,2640
"arg","Argentina",1869,33.37,2660
"arg","Argentina",1870,33.38,2680
"arg","Argentina",1871,33.39,2740
"arg","Argentina",1872,33.4,2800
"arg","Argentina",1873,33.41,2860
"arg","Argentina",1874,33.42,2920
"arg","Argentina",1875,33.43,2980
"arg","Argentina",1876,33.42,2990
"arg","Argentina",1877,33.41,3230
"arg","Argentina",1878,33.39,3000
"arg","Argentina",1879,33.38,3050
"arg","Argentina",1880,33.37,2930
"arg","Argentina",1881,33.28,2910
"arg","Argentina",1882,33.19,3560
"arg","Argentina",1883,33.1,3860
"arg","Argentina",1884,33,3990
"arg","Argentina",1885,32.91,4470
"arg","Argentina",1886,33.2,4320
"arg","Argentina",1887,33.5,4400
"arg","Argentina",1888,33.79,4830
"arg","Argentina",1889,34.08,4910
"arg","Argentina",1890,34.37,4410
"arg","Argentina",1891,34.24,4160
"arg","Argentina",1892,34.11,4870
"arg","Argentina",1893,33.98,5050
"arg","Argentina",1894,33.84,5690
"arg","Argentina",1895,33.71,6160
"arg","Argentina",1896,34.43,6540
"arg","Argentina",1897,35.15,5150
"arg","Argentina",1898,35.87,5430
"arg","Argentina",1899,36.58,6190
"arg","Argentina",1900,37.3,5250
"arg","Argentina",1901,37.9,5260
"arg","Argentina",1902,38.5,4960
"arg","Argentina",1903,39.1,5460
"arg","Argentina",1904,39.7,5820
"arg","Argentina",1905,40.3,6350
"arg","Argentina",1906,41.08,6420
"arg","Argentina",1907,41.86,6310
"arg","Argentina",1908,42.65,6670
"arg","Argentina",1909,43.43,6750
"arg","Argentina",1910,44.21,6970
"arg","Argentina",1911,44.78,6830
"arg","Argentina",1912,45.34,7120
"arg","Argentina",1913,45.9,6930
"arg","Argentina",1914,46.46,6020
"arg","Argentina",1915,47.02,5920
"arg","Argentina",1916,47.85,5640
"arg","Argentina",1917,48.68,5090
"arg","Argentina",1918,42.54,5930
"arg","Argentina",1919,50.33,6030
"arg","Argentina",1920,51.16,6340
"arg","Argentina",1921,51.66,6330
"arg","Argentina",1922,52.17,6630
"arg","Argentina",1923,52.67,7110
"arg","Argentina",1924,53.18,7400
"arg","Argentina",1925,53.68,7150
"arg","Argentina",1926,54.04,7290
"arg","Argentina",1927,54.4,7580
"arg","Argentina",1928,54.76,7830
"arg","Argentina",1929,55.13,7970
"arg","Argentina",1930,55.49,7440
"arg","Argentina",1931,55.5,6770
"arg","Argentina",1932,55.52,6430
"arg","Argentina",1933,55.53,6610
"arg","Argentina",1934,55.55,7020
"arg","Argentina",1935,55.56,7210
"arg","Argentina",1936,56.56,7140
"arg","Argentina",1937,57.56,7530
"arg","Argentina",1938,58.56,7430
"arg","Argentina",1939,59.56,7570
"arg","Argentina",1940,60.56,7590
"arg","Argentina",1941,61.19,7880
"arg","Argentina",1942,61.82,7880
"arg","Argentina",1943,62.45,7720
"arg","Argentina",1944,63.07,8480
"arg","Argentina",1945,63.7,8100
"arg","Argentina",1946,63.62,8710
"arg","Argentina",1947,63.54,9530
"arg","Argentina",1948,63.46,9880
"arg","Argentina",1949,63.37,9530
"arg","Argentina",1950,63.3,9450
"arg","Argentina",1951,63.54,9680
"arg","Argentina",1952,64.19,9020
"arg","Argentina",1953,64.12,9340
"arg","Argentina",1954,64.71,9560
"arg","Argentina",1955,64.51,10100
"arg","Argentina",1956,65.18,10200
"arg","Argentina",1957,65.15,10600
"arg","Argentina",1958,65.4,11100
"arg","Argentina",1959,65.4,10300
"arg","Argentina",1960,65.26,11000
"arg","Argentina",1961,65.74,11500
"arg","Argentina",1962,65.75,11300
"arg","Argentina",1963,65.75,10800
"arg","Argentina",1964,65.82,11700
"arg","Argentina",1965,66.13,12700
"arg","Argentina",1966,66.58,12600
"arg","Argentina",1967,66.55,12800
"arg","Argentina",1968,65.99,13200
"arg","Argentina",1969,65.93,14200
"arg","Argentina",1970,66.13,14700
"arg","Argentina",1971,66.89,15100
"arg","Argentina",1972,67.33,15300
"arg","Argentina",1973,67.73,15900
